ASCII SAMPLE CYCLES :			21082026  zz20 monoliths 1st.mdc
DATE :	21/08/2026	TIME :	12:05:33
CONVERTED CYCLES :			9750
Number of stored cycles			9750
Printed start cycle			1
Printed end cycle			9750
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	14.13	min:	1.68131E-010	max:	3.40415E-010	
'0/1'	16.13	min:	-5.87995E-013	max:	9.41275E-011	
'0/2'	18.16	min:	2.43818E-012	max:	2.42057E-011	
'0/3'	28.19	min:	2.87695E-009	max:	4.88846E-009	
'0/4'	32.22	min:	-6.73765E-013	max:	1.83888E-013	
'0/5'	40.22	min:	-8.66422E-013	max:	-5.88922E-013	
'0/6'	44.28	min:	-9.21663E-013	max:	1.14578E-009	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'0/6'	
876	21/08/2026	12:17:17:69	704.694	2.22148E-010	5.78986E-011	7.4404E-012	3.55504E-009	-4.50633E-013	-7.48156E-013	7.30805E-010	
877	21/08/2026	12:17:18:49	705.494	2.22119E-010	5.79487E-011	7.44374E-012	3.55445E-009	-4.54899E-013	-7.78742E-013	7.30972E-010	
878	21/08/2026	12:17:19:30	706.304	2.22111E-010	5.79376E-011	7.44022E-012	3.55392E-009	-4.62685E-013	-7.57239E-013	7.31101E-010	
879	21/08/2026	12:17:20:10	707.104	2.22E-010	5.79376E-011	7.43503E-012	3.55443E-009	-4.21162E-013	-7.79483E-013	7.31139E-010	
880	21/08/2026	12:17:20:91	707.914	2.22151E-010	5.79617E-011	7.42075E-012	3.55355E-009	-4.44148E-013	-7.69103E-013	7.31083E-010	
881	21/08/2026	12:17:21:72	708.724	2.2204E-010	5.79693E-011	7.42298E-012	3.55465E-009	-3.8766E-013	-7.60761E-013	7.3138E-010	
882	21/08/2026	12:17:22:53	709.533	2.22055E-010	5.79302E-011	7.41519E-012	3.55355E-009	-4.20235E-013	-7.33697E-013	7.31398E-010	
883	21/08/2026	12:17:23:34	710.343	2.22077E-010	5.79839E-011	7.41649E-012	3.55427E-009	-4.28428E-013	-7.95425E-013	7.31435E-010	
884	21/08/2026	12:17:24:15	711.153	2.22092E-010	5.7958E-011	7.43188E-012	3.55355E-009	-4.16157E-013	-7.88752E-013	7.31528E-010	
885	21/08/2026	12:17:24:95	711.953	2.21963E-010	5.79784E-011	7.43317E-012	3.55427E-009	-4.02439E-013	-7.32584E-013	7.31583E-010	
886	21/08/2026	12:17:25:75	712.753	2.22004E-010	5.80033E-011	7.39851E-012	3.55372E-009	-4.27336E-013	-7.88937E-013	7.31528E-010	
887	21/08/2026	12:17:26:56	713.563	2.22E-010	5.79746E-011	7.40911E-012	3.5541E-009	-4.6683E-013	-7.46302E-013	7.32102E-010	
888	21/08/2026	12:17:27:36	714.363	2.22092E-010	5.80191E-011	7.39891E-012	3.55304E-009	-4.15786E-013	-7.56497E-013	7.32343E-010	
889	21/08/2026	12:17:28:17	715.172	2.21851E-010	5.80726E-011	7.40945E-012	3.55306E-009	-4.43036E-013	-7.56683E-013	7.33104E-010	
890	21/08/2026	12:17:28:98	715.982	2.21777E-010	5.81341E-011	7.3961E-012	3.55284E-009	-4.44889E-013	-8.06547E-013	7.3357E-010	
891	21/08/2026	12:17:29:79	716.792	2.21777E-010	5.81563E-011	7.38795E-012	3.55096E-009	-4.21718E-013	-7.81152E-013	7.34432E-010	
892	21/08/2026	12:17:30:60	717.602	2.21685E-010	5.82318E-011	7.38002E-012	3.55159E-009	-4.11138E-013	-7.65024E-013	7.34883E-010	
893	21/08/2026	12:17:31:40	718.402	2.21518E-010	5.82783E-011	7.43503E-012	3.54991E-009	-4.04222E-013	-7.59463E-013	7.34772E-010	
894	21/08/2026	12:17:32:20	719.202	2.2161E-010	5.82768E-011	7.41074E-012	3.55077E-009	-4.5286E-013	-7.33511E-013	7.35272E-010	
895	21/08/2026	12:17:33:01	720.012	2.21599E-010	5.82786E-011	7.41204E-012	3.54966E-009	-4.13686E-013	-7.59278E-013	7.35226E-010	
896	21/08/2026	12:17:33:82	720.822	2.21536E-010	5.82935E-011	7.39778E-012	3.55141E-009	-4.04849E-013	-7.48341E-013	7.35105E-010	
897	21/08/2026	12:17:34:62	721.621	2.2161E-010	5.82379E-011	7.40037E-012	3.55151E-009	-4.3525E-013	-7.81708E-013	7.34902E-010	
898	21/08/2026	12:17:35:42	722.421	2.21536E-010	5.8223E-011	7.37163E-012	3.55133E-009	-4.28762E-013	-7.74108E-013	7.34809E-010	
899	21/08/2026	12:17:36:22	723.221	2.21674E-010	5.82416E-011	7.42539E-012	3.55137E-009	-4.44519E-013	-7.9042E-013	7.34512E-010	
900	21/08/2026	12:17:37:03	724.031	2.21749E-010	5.8223E-011	7.40061E-012	3.55137E-009	-4.0003E-013	-8.23972E-013	7.34338E-010	
901	21/08/2026	12:17:37:83	724.831	2.21777E-010	5.8211E-011	7.39777E-012	3.55185E-009	-4.26352E-013	-7.94683E-013	7.34216E-010	
902	21/08/2026	12:17:38:64	725.641	2.21703E-010	5.81952E-011	7.44504E-012	3.55228E-009	-4.16416E-013	-7.74664E-013	7.34141E-010	
903	21/08/2026	12:17:39:45	726.451	2.2187E-010	5.81563E-011	7.42743E-012	3.5529E-009	-4.23386E-013	-8.06089E-013	7.34142E-010	
904	21/08/2026	12:17:40:26	727.261	2.21944E-010	5.8177E-011	7.39443E-012	3.55373E-009	-4.08928E-013	-7.53346E-013	7.34012E-010	
905	21/08/2026	12:17:41:07	728.07	2.21895E-010	5.82063E-011	7.43781E-012	3.55248E-009	-4.13747E-013	-7.73366E-013	7.33826E-010	
906	21/08/2026	12:17:41:88	728.88	2.21833E-010	5.81989E-011	7.41742E-012	3.55355E-009	-4.03366E-013	-7.52605E-013	7.33715E-010	
907	21/08/2026	12:17:42:69	729.69	2.2187E-010	5.81637E-011	7.41931E-012	3.55405E-009	-4.29874E-013	-7.67434E-013	7.33956E-010	
908	21/08/2026	12:17:43:50	730.5	2.2192E-010	5.816E-011	7.42075E-012	3.55373E-009	-4.29689E-013	-7.552E-013	7.33585E-010	
909	21/08/2026	12:17:44:31	731.31	2.2184E-010	5.81322E-011	7.46413E-012	3.55411E-009	-4.6009E-013	-7.70771E-013	7.339E-010	
910	21/08/2026	12:17:45:13	732.13	2.22074E-010	5.81433E-011	7.41149E-012	3.55374E-009	-4.57309E-013	-7.8523E-013	7.339E-010	
911	21/08/2026	12:17:45:94	732.94	2.22099E-010	5.81637E-011	7.46617E-012	3.55355E-009	-3.79268E-013	-7.64654E-013	7.33919E-010	
912	21/08/2026	12:17:46:73	733.739	2.21889E-010	5.8173E-011	7.4139E-012	3.55446E-009	-3.83532E-013	-7.71327E-013	7.33678E-010	
913	21/08/2026	12:17:47:53	734.539	2.21949E-010	5.81752E-011	7.405E-012	3.55374E-009	-4.03737E-013	-7.83561E-013	7.33715E-010	
914	21/08/2026	12:17:48:34	735.349	2.22134E-010	5.81656E-011	7.43781E-012	3.55467E-009	-4.10225E-013	-7.60019E-013	7.33956E-010	
915	21/08/2026	12:17:49:14	736.149	2.22055E-010	5.81317E-011	7.42372E-012	3.55389E-009	-4.53972E-013	-7.84303E-013	7.33808E-010	
916	21/08/2026	12:17:49:94	736.949	2.22022E-010	5.81964E-011	7.46673E-012	3.55374E-009	-4.3771E-013	-7.76147E-013	7.3366E-010	
917	21/08/2026	12:17:50:75	737.759	2.22097E-010	5.81563E-011	7.42308E-012	3.55409E-009	-4.35992E-013	-7.67434E-013	7.33826E-010	
918	21/08/2026	12:17:51:55	738.559	2.22026E-010	5.81748E-011	7.42631E-012	3.55374E-009	-4.27835E-013	-7.55385E-013	7.33975E-010	
919	21/08/2026	12:17:52:36	739.369	2.22037E-010	5.81693E-011	7.43355E-012	3.55373E-009	-4.21162E-013	-7.70589E-013	7.34036E-010	
920	21/08/2026	12:17:53:18	740.188	2.21944E-010	5.81506E-011	7.45264E-012	3.55355E-009	-3.95581E-013	-7.9042E-013	7.34049E-010	
921	21/08/2026	12:17:53:98	740.988	2.22037E-010	5.82212E-011	7.42873E-012	3.55446E-009	-4.04479E-013	-7.72254E-013	7.34216E-010	
922	21/08/2026	12:17:54:79	741.798	2.21926E-010	5.81693E-011	7.40835E-012	3.5541E-009	-4.45075E-013	-7.45109E-013	7.33919E-010	
923	21/08/2026	12:17:55:60	742.608	2.21926E-010	5.81989E-011	7.4499E-012	3.5539E-009	-3.97488E-013	-7.89493E-013	7.34253E-010	
924	21/08/2026	12:17:56:40	743.408	2.21895E-010	5.81767E-011	7.40352E-012	3.5541E-009	-4.20606E-013	-7.97835E-013	7.34308E-010	
925	21/08/2026	12:17:57:20	744.208	2.21907E-010	5.81978E-011	7.42743E-012	3.55339E-009	-4.18418E-013	-7.82264E-013	7.34345E-010	
926	21/08/2026	12:17:58:01	745.018	2.21889E-010	5.82342E-011	7.44059E-012	3.55325E-009	-4.1764E-013	-7.70029E-013	7.3429E-010	
927	21/08/2026	12:17:58:81	745.817	2.21907E-010	5.82305E-011	7.43503E-012	3.55299E-009	-4.33582E-013	-7.72068E-013	7.34475E-010	
928	21/08/2026	12:17:59:61	746.617	2.21674E-010	5.81823E-011	7.41964E-012	3.55228E-009	-4.4248E-013	-7.87083E-013	7.34401E-010	
929	21/08/2026	12:18:00:41	747.417	2.21833E-010	5.82249E-011	7.45097E-012	3.55374E-009	-4.26352E-013	-7.88566E-013	7.34531E-010	
930	21/08/2026	12:18:01:21	748.217	2.21907E-010	5.82175E-011	7.43447E-012	3.55283E-009	-4.48084E-013	-7.79298E-013	7.3466E-010	
931	21/08/2026	12:18:02:02	749.027	2.21944E-010	5.82008E-011	7.42038E-012	3.55318E-009	-4.23572E-013	-7.5557E-013	7.34827E-010	
932	21/08/2026	12:18:02:83	749.837	2.22079E-010	5.82583E-011	7.42724E-012	3.5541E-009	-4.19494E-013	-7.58166E-013	7.34901E-010	
933	21/08/2026	12:18:03:63	750.637	2.21693E-010	5.82138E-011	7.45916E-012	3.55303E-009	-3.88351E-013	-7.79298E-013	7.34846E-010	
934	21/08/2026	12:18:04:43	751.437	2.21759E-010	5.82323E-011	7.40004E-012	3.55283E-009	-4.38772E-013	-7.67249E-013	7.34753E-010	
935	21/08/2026	12:18:05:23	752.237	2.21777E-010	5.82582E-011	7.40314E-012	3.553E-009	-4.38031E-013	-7.79143E-013	7.34753E-010	
936	21/08/2026	12:18:06:04	753.046	2.21844E-010	5.82267E-011	7.42761E-012	3.5518E-009	-4.11893E-013	-7.9802E-013	7.35056E-010	
937	21/08/2026	12:18:06:85	753.856	2.21822E-010	5.8262E-011	7.39313E-012	3.55133E-009	-4.41182E-013	-7.54829E-013	7.3498E-010	
938	21/08/2026	12:18:07:65	754.656	2.2187E-010	5.82432E-011	7.38947E-012	3.5517E-009	-4.24128E-013	-7.56127E-013	7.35094E-010	
939	21/08/2026	12:18:08:45	755.456	2.21777E-010	5.82342E-011	7.40439E-012	3.55096E-009	-4.59904E-013	-7.63912E-013	7.3518E-010	
940	21/08/2026	12:18:09:26	756.266	2.21759E-010	5.82397E-011	7.43262E-012	3.55155E-009	-4.06406E-013	-7.6039E-013	7.35328E-010	
941	21/08/2026	12:18:10:06	757.066	2.21796E-010	5.82965E-011	7.41909E-012	3.55114E-009	-4.20791E-013	-7.62058E-013	7.3518E-010	
942	21/08/2026	12:18:10:87	757.876	2.21731E-010	5.82471E-011	7.43021E-012	3.5521E-009	-4.09113E-013	-7.59278E-013	7.35383E-010	
943	21/08/2026	12:18:11:67	758.675	2.2174E-010	5.82564E-011	7.43039E-012	3.55226E-009	-4.23386E-013	-7.65024E-013	7.35495E-010	
944	21/08/2026	12:18:12:47	759.475	2.21749E-010	5.82471E-011	7.41666E-012	3.55119E-009	-4.2765E-013	-8.2768E-013	7.35754E-010	
945	21/08/2026	12:18:13:27	760.275	2.21656E-010	5.83231E-011	7.41723E-012	3.54991E-009	-4.18054E-013	-7.80781E-013	7.35495E-010	
946	21/08/2026	12:18:14:08	761.085	2.2174E-010	5.82583E-011	7.39239E-012	3.55183E-009	-4.53231E-013	-7.73922E-013	7.35736E-010	
947	21/08/2026	12:18:14:88	761.885	2.2174E-010	5.83565E-011	7.44839E-012	3.55077E-009	-4.24499E-013	-7.69288E-013	7.35643E-010	
948	21/08/2026	12:18:15:69	762.695	2.21599E-010	5.82972E-011	7.40611E-012	3.55133E-009	-4.1041E-013	-7.60946E-013	7.35566E-010	
949	21/08/2026	12:18:16:50	763.505	2.21777E-010	5.82972E-011	7.39981E-012	3.55192E-009	-4.01883E-013	-7.90791E-013	7.35921E-010	
950	21/08/2026	12:18:17:31	764.314	2.21807E-010	5.83305E-011	7.44244E-012	3.55215E-009	-4.4767E-013	-7.69102E-013	7.3581E-010	
951	21/08/2026	12:18:18:11	765.114	2.21722E-010	5.83546E-011	7.41464E-012	3.55226E-009	-4.3247E-013	-7.68732E-013	7.35828E-010	
952	21/08/2026	12:18:18:91	765.914	2.21648E-010	5.83244E-011	7.41742E-012	3.55114E-009	-3.98361E-013	-7.5038E-013	7.36088E-010	
953	21/08/2026	12:18:19:72	766.724	2.21851E-010	5.82847E-011	7.40945E-012	3.55077E-009	-4.08001E-013	-7.33511E-013	7.35925E-010	
954	21/08/2026	12:18:20:52	767.524	2.22018E-010	5.83732E-011	7.40741E-012	3.55237E-009	-4.29874E-013	-7.69288E-013	7.36032E-010	
955	21/08/2026	12:18:21:33	768.334	2.21703E-010	5.83787E-011	7.44115E-012	3.55155E-009	-4.61573E-013	-7.60761E-013	7.36051E-010	
956	21/08/2026	12:18:22:13	769.134	2.21777E-010	5.83324E-011	7.44121E-012	3.55133E-009	-4.55641E-013	-7.61688E-013	7.36125E-010	
957	21/08/2026	12:18:22:93	769.933	2.21648E-010	5.83584E-011	7.41223E-012	3.55189E-009	-4.08001E-013	-7.34253E-013	7.36347E-010	
958	21/08/2026	12:18:23:74	770.743	2.21703E-010	5.83451E-011	7.44802E-012	3.55101E-009	-3.8038E-013	-7.3277E-013	7.36218E-010	
959	21/08/2026	12:18:24:55	771.553	2.21804E-010	5.83493E-011	7.43177E-012	3.55092E-009	-3.87054E-013	-7.6039E-013	7.36459E-010	
960	21/08/2026	12:18:25:36	772.363	2.21759E-010	5.83398E-011	7.39962E-012	3.55133E-009	-4.60646E-013	-7.74107E-013	7.36551E-010	
961	21/08/2026	12:18:26:17	773.173	2.21777E-010	5.83713E-011	7.42441E-012	3.55207E-009	-4.19679E-013	-7.8041E-013	7.3651E-010	
962	21/08/2026	12:18:26:97	773.973	2.21573E-010	5.84084E-011	7.42928E-012	3.55162E-009	-4.22459E-013	-7.51492E-013	7.36625E-010	
963	21/08/2026	12:18:27:78	774.783	2.21592E-010	5.84214E-011	7.40222E-012	3.55173E-009	-3.94469E-013	-7.55756E-013	7.36922E-010	
964	21/08/2026	12:18:28:59	775.593	2.21573E-010	5.84121E-011	7.448E-012	3.5517E-009	-4.16157E-013	-7.38516E-013	7.36848E-010	
965	21/08/2026	12:18:29:40	776.403	2.21814E-010	5.8401E-011	7.43132E-012	3.55212E-009	-3.98547E-013	-7.67063E-013	7.36926E-010	
966	21/08/2026	12:18:30:21	777.212	2.21685E-010	5.84093E-011	7.46469E-012	3.55105E-009	-4.21512E-013	-7.21085E-013	7.36903E-010	
967	21/08/2026	12:18:31:02	778.022	2.21592E-010	5.8382E-011	7.44522E-012	3.55082E-009	-4.2283E-013	-7.76146E-013	7.37089E-010	
968	21/08/2026	12:18:31:83	778.832	2.21629E-010	5.83947E-011	7.4139E-012	3.5517E-009	-4.33026E-013	-7.4797E-013	7.37163E-010	
969	21/08/2026	12:18:32:63	779.632	2.21685E-010	5.84566E-011	7.44708E-012	3.55281E-009	-4.14118E-013	-7.67434E-013	7.37163E-010	
970	21/08/2026	12:18:33:44	780.442	2.2174E-010	5.83729E-011	7.44084E-012	3.55059E-009	-4.06042E-013	-7.52605E-013	7.372E-010	
971	21/08/2026	12:18:34:24	781.242	2.21499E-010	5.8427E-011	7.45653E-012	3.54997E-009	-4.23201E-013	-7.85415E-013	7.37293E-010	
972	21/08/2026	12:18:35:05	782.052	2.21676E-010	5.84325E-011	7.39999E-012	3.55077E-009	-4.34509E-013	-7.71512E-013	7.37436E-010	
973	21/08/2026	12:18:35:86	782.861	2.21722E-010	5.8414E-011	7.46577E-012	3.55077E-009	-4.35162E-013	-7.55941E-013	7.377E-010	
974	21/08/2026	12:18:36:66	783.661	2.21629E-010	5.8477E-011	7.44877E-012	3.55028E-009	-4.48782E-013	-7.68361E-013	7.37492E-010	
975	21/08/2026	12:18:37:47	784.471	2.21759E-010	5.84529E-011	7.44281E-012	3.55173E-009	-4.10225E-013	-7.73181E-013	7.37515E-010	
976	21/08/2026	12:18:38:28	785.281	2.21666E-010	5.84974E-011	7.43169E-012	3.55022E-009	-4.40997E-013	-7.52234E-013	7.37497E-010	
977	21/08/2026	12:18:39:09	786.091	2.21629E-010	5.849E-011	7.41232E-012	3.55022E-009	-3.96693E-013	-8.05064E-013	7.37701E-010	
978	21/08/2026	12:18:39:89	786.891	2.21555E-010	5.8464E-011	7.41501E-012	3.55173E-009	-3.78527E-013	-7.76517E-013	7.3783E-010	
979	21/08/2026	12:18:40:70	787.701	2.21499E-010	5.84733E-011	7.42094E-012	3.5494E-009	-4.15045E-013	-7.78E-013	7.37665E-010	
980	21/08/2026	12:18:41:51	788.511	2.21561E-010	5.8503E-011	7.46061E-012	3.55072E-009	-4.10596E-013	-7.72624E-013	7.37664E-010	
981	21/08/2026	12:18:42:32	789.32	2.21629E-010	5.84789E-011	7.45009E-012	3.5517E-009	-4.0763E-013	-7.83561E-013	7.37756E-010	
982	21/08/2026	12:18:43:13	790.13	2.21722E-010	5.84656E-011	7.44671E-012	3.55188E-009	-4.16052E-013	-7.63727E-013	7.37851E-010	
983	21/08/2026	12:18:43:93	790.93	2.21611E-010	5.84492E-011	7.44634E-012	3.5504E-009	-3.86022E-013	-7.76517E-013	7.37756E-010	
984	21/08/2026	12:18:44:73	791.731	2.21573E-010	5.84974E-011	7.42724E-012	3.55003E-009	-4.11893E-013	-7.80781E-013	7.37905E-010	
985	21/08/2026	12:18:45:54	792.54	2.21629E-010	5.84849E-011	7.41816E-012	3.55141E-009	-4.20977E-013	-7.37033E-013	7.38127E-010	
986	21/08/2026	12:18:46:36	793.361	2.21592E-010	5.85196E-011	7.43876E-012	3.55114E-009	-4.27835E-013	-7.2758E-013	7.38016E-010	
987	21/08/2026	12:18:47:17	794.17	2.21525E-010	5.84807E-011	7.40986E-012	3.55114E-009	-4.2406E-013	-7.59487E-013	7.38071E-010	
988	21/08/2026	12:18:47:97	794.979	2.21573E-010	5.85141E-011	7.43225E-012	3.5511E-009	-4.29504E-013	-7.76147E-013	7.38257E-010	
989	21/08/2026	12:18:48:78	795.789	2.21648E-010	5.85067E-011	7.43688E-012	3.55059E-009	-3.85476E-013	-7.58536E-013	7.38229E-010	
990	21/08/2026	12:18:49:59	796.599	2.2174E-010	5.85067E-011	7.43503E-012	3.55034E-009	-4.20791E-013	-7.76332E-013	7.38201E-010	
991	21/08/2026	12:18:50:39	797.399	2.21573E-010	5.85076E-011	7.44838E-012	3.5504E-009	-3.99844E-013	-7.52605E-013	7.38461E-010	
992	21/08/2026	12:18:51:20	798.209	2.21518E-010	5.85234E-011	7.42131E-012	3.55123E-009	-4.18964E-013	-7.50565E-013	7.38553E-010	
993	21/08/2026	12:18:52:01	799.019	2.21518E-010	5.85345E-011	7.43614E-012	3.55114E-009	-3.92429E-013	-7.89493E-013	7.38535E-010	
994	21/08/2026	12:18:52:82	799.829	2.21731E-010	5.8527E-011	7.46265E-012	3.55059E-009	-4.19864E-013	-7.33882E-013	7.38625E-010	
995	21/08/2026	12:18:53:63	800.638	2.21573E-010	5.84918E-011	7.46154E-012	3.54978E-009	-3.99844E-013	-7.82635E-013	7.38646E-010	
996	21/08/2026	12:18:54:44	801.448	2.21518E-010	5.85289E-011	7.44189E-012	3.55028E-009	-4.31913E-013	-7.74849E-013	7.38436E-010	
997	21/08/2026	12:18:55:25	802.258	2.21549E-010	5.85326E-011	7.4404E-012	3.55096E-009	-4.13932E-013	-7.28692E-013	7.38739E-010	
998	21/08/2026	12:18:56:06	803.068	2.21703E-010	5.85604E-011	7.46302E-012	3.55133E-009	-4.16234E-013	-7.50009E-013	7.38942E-010	
999	21/08/2026	12:18:56:87	803.878	2.21629E-010	5.85513E-011	7.43373E-012	3.5511E-009	-3.78742E-013	-7.60019E-013	7.38813E-010	
1000	21/08/2026	12:18:57:67	804.678	2.21555E-010	5.85326E-011	7.43262E-012	3.54973E-009	-4.0522E-013	-7.50009E-013	7.38868E-010	
1001	21/08/2026	12:18:58:48	805.488	2.21561E-010	5.85215E-011	7.44726E-012	3.55022E-009	-4.37475E-013	-7.60761E-013	7.39017E-010	
1002	21/08/2026	12:18:59:29	806.297	2.2174E-010	5.85511E-011	7.39035E-012	3.54985E-009	-4.05314E-013	-7.92088E-013	7.3885E-010	
1003	21/08/2026	12:19:00:09	807.097	2.21537E-010	5.86039E-011	7.46024E-012	3.54836E-009	-4.02996E-013	-7.48712E-013	7.39109E-010	
1004	21/08/2026	12:19:00:90	807.907	2.21499E-010	5.85397E-011	7.45004E-012	3.5504E-009	-4.1523E-013	-7.29619E-013	7.39276E-010	
1005	21/08/2026	12:19:01:70	808.707	2.21592E-010	5.85567E-011	7.47087E-012	3.5504E-009	-3.92986E-013	-7.69288E-013	7.38984E-010	
1006	21/08/2026	12:19:02:51	809.517	2.2161E-010	5.85808E-011	7.46839E-012	3.55114E-009	-4.06147E-013	-7.63912E-013	7.39091E-010	
1007	21/08/2026	12:19:03:31	810.317	2.21629E-010	5.86123E-011	7.44745E-012	3.55022E-009	-4.42479E-013	-7.60019E-013	7.38961E-010	
1008	21/08/2026	12:19:04:11	811.117	2.21573E-010	5.85363E-011	7.4608E-012	3.54864E-009	-4.12594E-013	-7.62614E-013	7.38984E-010	
1009	21/08/2026	12:19:04:92	811.927	2.21656E-010	5.85789E-011	7.45171E-012	3.55046E-009	-4.21162E-013	-7.78E-013	7.39128E-010	
1010	21/08/2026	12:19:05:73	812.737	2.21685E-010	5.85956E-011	7.44263E-012	3.54985E-009	-4.48041E-013	-7.85331E-013	7.39499E-010	
1011	21/08/2026	12:19:06:53	813.536	2.21425E-010	5.85734E-011	7.44578E-012	3.54948E-009	-4.21718E-013	-7.78186E-013	7.39443E-010	
1012	21/08/2026	12:19:07:34	814.346	2.21531E-010	5.86049E-011	7.4417E-012	3.5504E-009	-4.25982E-013	-7.9042E-013	7.39305E-010	
1013	21/08/2026	12:19:08:15	815.156	2.2152E-010	5.86012E-011	7.44967E-012	3.55077E-009	-4.10596E-013	-7.5557E-013	7.39406E-010	
1014	21/08/2026	12:19:08:96	815.966	2.21542E-010	5.86197E-011	7.45894E-012	3.54991E-009	-4.22604E-013	-7.3796E-013	7.39381E-010	
1015	21/08/2026	12:19:09:76	816.766	2.21499E-010	5.86197E-011	7.4328E-012	3.54985E-009	-4.3225E-013	-7.41853E-013	7.39343E-010	
1016	21/08/2026	12:19:10:57	817.576	2.21536E-010	5.85845E-011	7.46803E-012	3.54959E-009	-3.96878E-013	-7.56683E-013	7.3948E-010	
1017	21/08/2026	12:19:11:38	818.386	2.21592E-010	5.86383E-011	7.45523E-012	3.55133E-009	-4.28577E-013	-7.54273E-013	7.39573E-010	
1018	21/08/2026	12:19:12:19	819.195	2.21536E-010	5.86438E-011	7.43039E-012	3.55022E-009	-4.11893E-013	-7.79113E-013	7.39517E-010	
1019	21/08/2026	12:19:13:01	820.016	2.21462E-010	5.86216E-011	7.42613E-012	3.54921E-009	-4.25796E-013	-7.71142E-013	7.39628E-010	
1020	21/08/2026	12:19:13:82	820.825	2.21458E-010	5.86004E-011	7.45301E-012	3.54985E-009	-4.18567E-013	-7.64839E-013	7.39573E-010	
1021	21/08/2026	12:19:14:63	821.635	2.21481E-010	5.8635E-011	7.44615E-012	3.55059E-009	-4.35621E-013	-7.63727E-013	7.3961E-010	
1022	21/08/2026	12:19:15:44	822.445	2.21518E-010	5.86253E-011	7.4448E-012	3.55064E-009	-3.90947E-013	-7.6799E-013	7.39814E-010	
1023	21/08/2026	12:19:16:24	823.245	2.21536E-010	5.8642E-011	7.44856E-012	3.54799E-009	-3.78527E-013	-7.75405E-013	7.39925E-010	
1024	21/08/2026	12:19:17:06	824.065	2.21555E-010	5.86568E-011	7.41185E-012	3.55114E-009	-4.2005E-013	-7.66137E-013	7.39907E-010	
1025	21/08/2026	12:19:17:87	824.874	2.21555E-010	5.86511E-011	7.43262E-012	3.55096E-009	-4.0763E-013	-7.49639E-013	7.39777E-010	
1026	21/08/2026	12:19:18:68	825.684	2.21432E-010	5.86787E-011	7.43985E-012	3.54997E-009	-3.87795E-013	-7.47414E-013	7.40055E-010	
1027	21/08/2026	12:19:19:48	826.484	2.21549E-010	5.86123E-011	7.41334E-012	3.5494E-009	-4.28391E-013	-7.55941E-013	7.39834E-010	
1028	21/08/2026	12:19:20:29	827.296	2.21499E-010	5.86323E-011	7.41482E-012	3.55077E-009	-3.96693E-013	-7.45655E-013	7.39907E-010	
1029	21/08/2026	12:19:21:10	828.104	2.21481E-010	5.86346E-011	7.45987E-012	3.54948E-009	-3.84088E-013	-7.59463E-013	7.40073E-010	
1030	21/08/2026	12:19:21:91	828.914	2.21592E-010	5.86605E-011	7.46117E-012	3.54966E-009	-4.31543E-013	-7.91903E-013	7.40129E-010	
1031	21/08/2026	12:19:22:72	829.724	2.21462E-010	5.86939E-011	7.4189E-012	3.55059E-009	-4.28762E-013	-8.03767E-013	7.40061E-010	
1032	21/08/2026	12:19:23:53	830.534	2.21448E-010	5.86253E-011	7.4506E-012	3.54781E-009	-4.0768E-013	-7.63309E-013	7.40023E-010	
1033	21/08/2026	12:19:24:33	831.333	2.21429E-010	5.86846E-011	7.49268E-012	3.54855E-009	-4.08742E-013	-7.59093E-013	7.39999E-010	
1034	21/08/2026	12:19:25:13	832.133	2.21518E-010	5.87106E-011	7.4328E-012	3.54707E-009	-4.46928E-013	-7.74107E-013	7.4025E-010	
1035	21/08/2026	12:19:25:95	832.953	2.2161E-010	5.86794E-011	7.41835E-012	3.54836E-009	-4.65738E-013	-7.60575E-013	7.40389E-010	
1036	21/08/2026	12:19:26:75	833.753	2.21555E-010	5.86883E-011	7.43763E-012	3.54744E-009	-4.58607E-013	-7.72625E-013	7.40259E-010	
1037	21/08/2026	12:19:27:56	834.563	2.21372E-010	5.86827E-011	7.44235E-012	3.54818E-009	-3.84644E-013	-8.0284E-013	7.40444E-010	
1038	21/08/2026	12:19:28:36	835.363	2.21407E-010	5.86436E-011	7.42592E-012	3.54781E-009	-4.15786E-013	-7.49638E-013	7.4037E-010	
1039	21/08/2026	12:19:29:16	836.163	2.21555E-010	5.87013E-011	7.4341E-012	3.54883E-009	-4.11684E-013	-7.48155E-013	7.40333E-010	
1040	21/08/2026	12:19:29:96	836.962	2.21518E-010	5.86531E-011	7.4608E-012	3.54799E-009	-4.37845E-013	-7.84303E-013	7.40463E-010	
1041	21/08/2026	12:19:30:76	837.762	2.21425E-010	5.86754E-011	7.47785E-012	3.54638E-009	-3.9521E-013	-7.72995E-013	7.40425E-010	
1042	21/08/2026	12:19:31:57	838.572	2.21573E-010	5.8718E-011	7.45894E-012	3.54718E-009	-4.1769E-013	-7.78186E-013	7.40514E-010	
1043	21/08/2026	12:19:32:38	839.382	2.21481E-010	5.86865E-011	7.42465E-012	3.54873E-009	-4.33396E-013	-7.552E-013	7.40685E-010	
1044	21/08/2026	12:19:33:19	840.192	2.21429E-010	5.87106E-011	7.47507E-012	3.54808E-009	-4.41553E-013	-7.79112E-013	7.40592E-010	
