ASCII SAMPLE CYCLES :			21082026  zz20 monoliths 1st.mdc
DATE :	21/08/2026	TIME :	12:05:33
CONVERTED CYCLES :			9750
Number of stored cycles			9750
Printed start cycle			1
Printed end cycle			9750
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	14.13	min:	1.68131E-010	max:	3.40415E-010	
'0/1'	16.13	min:	-5.87995E-013	max:	9.41275E-011	
'0/2'	18.16	min:	2.43818E-012	max:	2.42057E-011	
'0/3'	28.19	min:	2.87695E-009	max:	4.88846E-009	
'0/4'	32.22	min:	-6.73765E-013	max:	1.83888E-013	
'0/5'	40.22	min:	-8.66422E-013	max:	-5.88922E-013	
'0/6'	44.28	min:	-9.21663E-013	max:	1.14578E-009	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'0/6'	
35	21/08/2026	12:06:00:36	27.366	3.28365E-010	-5.57224E-013	9.00345E-012	4.68027E-009	-5.65475E-013	-7.0552E-013	-8.76803E-013	
36	21/08/2026	12:06:01:17	28.175	3.28456E-010	-5.24228E-013	9.00544E-012	4.67906E-009	-5.34535E-013	-7.03296E-013	-8.63456E-013	
37	21/08/2026	12:06:01:98	28.985	3.28328E-010	-5.71127E-013	8.97008E-012	4.67861E-009	-5.86404E-013	-6.95696E-013	-8.92003E-013	
38	21/08/2026	12:06:02:79	29.795	3.28161E-010	-5.59078E-013	8.96637E-012	4.67795E-009	-5.52034E-013	-6.94213E-013	-8.82549E-013	
39	21/08/2026	12:06:03:60	30.605	3.28219E-010	-5.71683E-013	8.94784E-012	4.67634E-009	-5.81878E-013	-6.94149E-013	-8.66422E-013	
40	21/08/2026	12:06:04:44	31.445	3.28217E-010	-5.54999E-013	9.01828E-012	4.67838E-009	-5.43692E-013	-6.91237E-013	-8.71798E-013	
41	21/08/2026	12:06:05:27	32.275	3.28237E-010	-5.50551E-013	9.03311E-012	4.6769E-009	-5.83493E-013	-6.97179E-013	-9.07389E-013	
42	21/08/2026	12:06:06:08	33.085	3.28106E-010	-5.56482E-013	9.00537E-012	4.67412E-009	-5.46658E-013	-7.08672E-013	-8.83291E-013	
43	21/08/2026	12:06:06:88	33.884	3.27995E-010	-5.53887E-013	8.99263E-012	4.67184E-009	-5.64268E-013	-6.91061E-013	-8.97379E-013	
44	21/08/2026	12:06:07:69	34.694	3.28013E-010	-5.48326E-013	9.00716E-012	4.67267E-009	-5.47955E-013	-7.35921E-013	-8.87184E-013	
45	21/08/2026	12:06:08:50	35.504	3.27902E-010	-5.44804E-013	8.96637E-012	4.67146E-009	-5.49253E-013	-6.71042E-013	-8.39173E-013	
46	21/08/2026	12:06:09:31	36.314	3.28045E-010	-5.4258E-013	8.96081E-012	4.67111E-009	-5.47399E-013	-7.07559E-013	-8.71427E-013	
47	21/08/2026	12:06:10:12	37.124	3.27939E-010	-5.45546E-013	8.96823E-012	4.66913E-009	-5.58151E-013	-6.89022E-013	-8.43992E-013	
48	21/08/2026	12:06:10:92	37.924	3.2792E-010	-5.62785E-013	8.97194E-012	4.67049E-009	-5.44433E-013	-6.95881E-013	-8.83105E-013	
49	21/08/2026	12:06:11:73	38.733	3.27642E-010	-5.41838E-013	8.95525E-012	4.66958E-009	-5.73119E-013	-6.73822E-013	-8.74949E-013	
50	21/08/2026	12:06:12:53	39.533	3.27661E-010	-5.60931E-013	8.95525E-012	4.668E-009	-5.30713E-013	-7.12935E-013	1.17358E-012	
51	21/08/2026	12:06:13:34	40.343	3.2336E-010	2.36533E-012	8.84773E-012	4.51809E-009	-5.54073E-013	-6.88466E-013	1.62718E-010	
52	21/08/2026	12:06:14:14	41.143	2.73903E-010	2.49713E-011	7.90976E-012	3.9749E-009	-6.1265E-013	-7.61317E-013	4.70853E-010	
53	21/08/2026	12:06:14:93	41.933	2.3859E-010	4.49941E-011	7.53049E-012	3.68583E-009	-6.33411E-013	-7.79483E-013	6.25218E-010	
54	21/08/2026	12:06:15:73	42.733	2.25374E-010	5.29289E-011	7.40574E-012	3.57107E-009	-6.21177E-013	-7.61688E-013	6.8157E-010	
